smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,lithiated 1-tert-butylsulfonyl-2-phenylaziridine,other,-28.0,1.50928,0.17876981709464687,2.99278,0.0344326,False,competing,-0.168,2.0174000000000003,0.4385,580.6,-79.93,-8.871,3.2920000000000007,-0.0966,2.616,6.8153,4.5793,253.32,4.993,0.5537000000000001
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,lithiated 1-tert-butylsulfonyl-2-phenylaziridine,other,-18.0,0.665457,-0.17688000219691166,6.62547,0.0853269,False,competing,-0.168,2.0174000000000003,0.4385,580.6,-79.93,-8.871,3.2920000000000007,-0.0966,2.616,6.8153,4.5793,253.32,4.993,0.5537000000000001
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranyllithium intermediate,oxiranylLi,-48.0,6.997330217065822,0.844932369562496,0.642066,,True,formation_only,-0.146,1.8958,0.3381,458.1,-81.12,-8.719,2.868999999999999,-0.0785,2.3051,5.9918,4.1158,239.79,5.4910000000000005,0.4872
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranyllithium intermediate,oxiranylLi,-28.0,5.293961823518998,0.7237808051378231,0.912643,,True,formation_only,-0.146,1.8958,0.3381,458.1,-81.12,-8.719,2.868999999999999,-0.0785,2.3051,5.9918,4.1158,239.79,5.4910000000000005,0.4872
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranyllithium intermediate,oxiranylLi,0.0,1.34868,0.12990891726267792,5.49824,0.00332453,False,competing,-0.146,1.8958,0.3381,458.1,-81.12,-8.719,2.868999999999999,-0.0785,2.3051,5.9918,4.1158,239.79,5.4910000000000005,0.4872
[Li][C@]1(c2ccccc2)OC1(C)c1ccccc1,oxiranyllithium intermediate,oxiranylLi,24.0,0.0956599,-1.0192700774622867,77.0049,0.0489119,False,competing,-0.146,1.8958,0.3381,458.1,-81.12,-8.719,2.868999999999999,-0.0785,2.3051,5.9918,4.1158,239.79,5.4910000000000005,0.4872
[Li]c1c(C)oc2ccccc12,2-methylbenzofuran-3-yllithium,m+p ArLi,-48.0,1.7841204265877397,0.2514241655319021,3.43626,,True,formation_only,-0.2851,1.875,0.2876,459.9,-69.10000000000001,-9.14,3.3920000000000003,-0.0736,1.82,6.1123,4.095,159.5,5.627,0.4184
[Li]c1c(C)oc2ccccc12,2-methylbenzofuran-3-yllithium,m+p ArLi,-28.0,0.22398,-0.6497907596900518,27.472,0.059206,False,competing,-0.2851,1.875,0.2876,459.9,-69.10000000000001,-9.14,3.3920000000000003,-0.0736,1.82,6.1123,4.095,159.5,5.627,0.4184
[Li]c1c(C)oc2ccccc12,2-methylbenzofuran-3-yllithium,m+p ArLi,0.0,0.0527512,-1.2777676564577471,85.7055,0.981809,False,competing,-0.2851,1.875,0.2876,459.9,-69.10000000000001,-9.14,3.3920000000000003,-0.0736,1.82,6.1123,4.095,159.5,5.627,0.4184
[Li]c1c(C)oc2ccccc12,2-methylbenzofuran-3-yllithium,m+p ArLi,24.0,0.00258868,-2.5869216316136074,2460.95,4.2577,False,competing,-0.2851,1.875,0.2876,459.9,-69.10000000000001,-9.14,3.3920000000000003,-0.0736,1.82,6.1123,4.095,159.5,5.627,0.4184
